country,owner_name,ID1,ID2
uk,AdBrain,08297181,
us,Alphabet/Google,03977902,
uk,Avocet,09048513,
us,Facebook,06331310,
uk,GroupM,04736785,
uk,IPONWEB,04120508,
uk,Kantar,02887671,
uk,Switch Concepts,06706037,
us,Twitter,07653064,
uk,Ve Interactive,10706696,10769874
uk,WPP,02757919,
uk,Clicktale,09855264,
us,Flurry,07655688,
uk,Outfit7,08725441,
us,Admob,FC028214,
uk,Zoopla,09005884,
uk,Skimlinks,06347796,
uk,Visualdna,05565112,
uk,Tinypop,00242372,
uk,Weborama,07261311,
uk,Loopme,07979184,
uk,7Static,03958483,
us,Appsflyer,10246990,
uk,King,08589489,04534247
uk,Mythings,04954943,
uk,Nxt,04554433,
us,Adjust,08232223,
uk,Awin,04010229,
uk,Medialytics,11135261,
uk,Superawesome,08375013,
sg,Inmobi,FC029365,
uk,Localytics,08754646,
uk,Bee7,09071354,
uk,Statiq,08702435,
us,Mopub,08562266,
uk,crimtan,07810698,
uk,Mxdata,08281721,
uk,Mapway,06316608,04054923
uk,Dunnhumby,02388853,
